"","sourcedb","labnr","c14age","c14std","sigma","c13val","site","feature","period","culture","material","country","lat","lon","shortref","TO","FROM"
"247","aDRAC","Beta-75831",1620,100,2,NA,"Bai Dédé Creek 2",NA,NA,NA,NA,"COG",2.21,16.53,"Fay 1997; Garcin et al. 2018",643,643
"248","aDRAC","Beta-75832",1660,80,2,NA,"Bai Dédé Creek 3",NA,NA,NA,NA,"COG",2.21,16.53,"Fay 1997; Garcin et al. 2018",578,191
"249","aDRAC","Beta-75833",1730,90,2,NA,"Bai Dédé Creek 4",NA,NA,NA,NA,"COG",2.21,16.53,"Fay 1997; Garcin et al. 2018",535,109
"250","aDRAC","Beta-75834",1710,90,2,NA,"Bai Dédé Creek 5",NA,NA,NA,NA,"COG",2.21,16.53,"Fay 1997; Garcin et al. 2018",543,96
"251","aDRAC","Beta-75835",1760,80,2,NA,"12 km Dédé creek","Creek 1",NA,NA,NA,"COG",2.2,16.51,"Fay 1997; Garcin et al. 2018",501,427
"252","aDRAC","Beta-75836",1730,80,2,NA,"12 km Dédé creek","Creek 2",NA,NA,NA,"COG",2.2,16.51,"Fay 1997; Garcin et al. 2018",533,103
"253","aDRAC","Beta-75837",1730,100,2,NA,"12 km Dédé creek","Creek 3; 13 km",NA,NA,NA,"COG",2.2,16.51,"Fay 1997; Garcin et al. 2018",538,538
"254","aDRAC","Beta-75838",1780,100,2,NA,"12 km Dédé creek","Creek 4",NA,NA,NA,"COG",2.2,16.51,"Fay 1997; Garcin et al. 2018",532,432
"255","aDRAC","Beta-75839",1940,90,2,NA,"12 km Dédé creek","Creek 4",NA,NA,NA,"COG",2.2,16.51,"Fay 1997; Garcin et al. 2018",319,256
"256","aDRAC","Beta-75840",1830,80,2,NA,"West Ndoki Lombé","1",NA,NA,NA,"COG",2.19,16.4,"Fay 1997; Garcin et al. 2018",385,385
"257","aDRAC","Beta-75841",2090,100,2,NA,"West Ndoki Lombé","2",NA,NA,NA,"COG",2.19,16.4,"Fay 1997; Garcin et al. 2018",84,84
"258","aDRAC","Beta-75842",1280,80,2,NA,"West Ndoki Lombé","3",NA,NA,NA,"COG",2.19,16.4,"Fay 1997; Garcin et al. 2018",951,900
"259","aDRAC","Beta-75843",1780,110,2,NA,"West Ndoki Lombé","4",NA,NA,NA,"COG",2.19,16.4,"Fay 1997; Garcin et al. 2018",534,437
"260","aDRAC","Beta-75844",1690,90,2,NA,"West Ndoki Lombé","5",NA,NA,NA,"COG",2.19,16.4,"Fay 1997; Garcin et al. 2018",551,551
"261","aDRAC","Beta-75845",1540,100,2,NA,"Modoubou","1",NA,NA,NA,"CAR",2.94,16.35,"Fay 1997; Garcin et al. 2018",666,284
"262","aDRAC","Beta-75846",1170,90,2,NA,"Modoubou","2",NA,NA,NA,"CAR",2.94,16.35,"Fay 1997; Garcin et al. 2018",1016,1016
"263","aDRAC","Beta-75847",1350,90,2,NA,"Modoubou","3",NA,NA,NA,"CAR",2.94,16.35,"Fay 1997; Garcin et al. 2018",936,443
"264","aDRAC","Beta-75848",1620,100,2,NA,"Modoubou","4",NA,NA,NA,"COG",2.94,16.35,"Fay 1997; Garcin et al. 2018",643,643
"265","aDRAC","Beta-75849",1450,80,2,NA,"Modoubou","5",NA,NA,NA,"CAR",2.94,16.35,"Fay 1997; Garcin et al. 2018",763,694
"266","aDRAC","Beta-75850",1640,80,2,NA,"Kenie Branch","1",NA,NA,NA,"CAR",2.37,16.14,"Fay 1997; Garcin et al. 2018",595,595
"267","aDRAC","Beta-75851",1860,90,2,NA,"Kenie Branch","2",NA,NA,NA,"CAR",2.37,16.14,"Fay 1997; Garcin et al. 2018",380,358
"268","aDRAC","Beta-75852",2090,90,2,NA,"Kenie Branch","3",NA,NA,NA,"CAR",2.37,16.14,"Fay 1997; Garcin et al. 2018",70,70
"269","aDRAC","Beta-75853",1640,110,2,NA,"Kenie Branch","4",NA,NA,NA,"CAR",2.37,16.14,"Fay 1997; Garcin et al. 2018",619,201
"270","aDRAC","Beta-75854",1890,100,2,NA,"Kenie Branch","5",NA,NA,NA,"CAR",2.37,16.14,"Fay 1997; Garcin et al. 2018",382,382
"271","aDRAC","Beta-88067",1870,70,2,0,"Bécaré II",NA,NA,NA,NA,"CAF",3.525773,16.040565,"Lanfranchi/Ndanga/Zana 1996; Lupo et al. 2018: 14 Tab. 4",331,-30
"272","aDRAC","Beta-9076",1600,50,2,0,"Massango",NA,NA,NA,"Charcoal","GAB",-1.6319,13.1417,"Clist 2004/05",567,372
"273","aDRAC","Beta-9077",1680,100,2,0,"Mboma",NA,NA,NA,"Charcoal","GAB",-1.708333,13.347222,"Clist 2004/05",581,581
"274","aDRAC","Beta-9078",400,50,2,0,"Lebombi",NA,NA,NA,"Charcoal","GAB",-1.5,13.3725,"Clist 2004/05",1634,1529
"275","aDRAC","Beta-9079",590,60,2,0,"Lebombi",NA,NA,NA,"Elaeis guineensis","GAB",-1.5,13.3725,"Clist 2004/05",1427,1427
"276","aDRAC","Beta-9080",980,70,2,0,"Lebombi",NA,NA,NA,"Charcoal","GAB",-1.5,13.3725,"Clist 2004/05",1214,922
"277","aDRAC","Beta-9081",710,60,2,0,"Lebombi",NA,NA,NA,"Charcoal","GAB",-1.5,13.3725,"Clist 2004/05",1398,1334
"278","aDRAC","Beta-9082",1850,70,2,0,"Moanda","1",NA,NA,"Charcoal","GAB",-1.557111,13.228192,"Clist 2004/05",341,12
"279","aDRAC","Beta-97224",290,50,2,0,"Ouassi",NA,NA,NA,NA,"CAF",7.13408,18.28206,"Moga 2008",1950,1669
"280","aDRAC","Beta-103857",410,60,2,0,"Vafio",NA,NA,NA,NA,"CAF",7.40714,18.40859,"Moga 2008",1635,1533
"281","aDRAC","Beta-104810",1730,70,2,0,"Bouri",NA,NA,NA,NA,"CAF",7.12755,18.27725,"Moga 2008",529,429
"282","aDRAC","Beta-143016",2340,70,2,0,"Bwambé-Sommet (Est)","BWS 2",NA,"Bwambé/Mpoengu",NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2",-205,-682
"283","aDRAC","Beta-143017",2520,70,2,0,"Bwambé-Sommet (Est)","BWS 4",NA,"Bwambé/Mpoengu",NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2",-430,-430
"284","aDRAC","Beta-143018",2000,40,2,0,"Campo","CAM 00",NA,NA,NA,"CMR",2.377257,9.83092,"Oslisly u.a. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1",79,79
"285","aDRAC","Beta-146654",1670,70,2,0,"Bandewouri 1",NA,NA,NA,NA,"CMR",3.058142,10.181206,"Oslisly 2001; Oslisly et al. 2013",555,555
"286","aDRAC","Beta-146655",2200,60,2,0,"Bwambé-Sommet (Est)","BWS 1",NA,"Bwambé/Mpoengu",NA,"CMR",2.893551,9.903519,"Oslisly 2006: 131; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2",-107,-107
"287","aDRAC","Beta-146656",2030,80,2,0,"Bwambé-Sommet (Est)","BWS 9",NA,"Bwambé/Mpoengu",NA,"CMR",2.893551,9.903519,"Oslisly 2006; Nlend Nlend 2013: 257 Tab. 44; Eggert/Seidensticker 2016:78 Tab. 4.2",132,-296
"288","aDRAC","Beta-146657",2340,60,2,0,"Bwambé-Sommet (Est)","BWS 11",NA,"Bwambé/Mpoengu",NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2",-207,-684
"289","aDRAC","Beta-146658",1760,70,2,0,"Bwambé-Sommet (Est)",NA,NA,NA,NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2",416,105
"290","aDRAC","Beta-146659",1710,60,2,0,"Campo","CAM 00/1",NA,"Campo",NA,"CMR",2.377257,9.83092,"Oslisly u.a. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1",527,199
"291","aDRAC","Beta-146660",1940,70,2,0,"Campo","CAM Campo2/Pit 1",NA,NA,NA,"CMR",2.377257,9.83092,"Oslisly u.a. 2006; Eggert/Seidensticker 2016:64 Tab. 4.1",239,239
"292","aDRAC","Beta-146661",1820,80,2,0,"Kribi Hotel",NA,NA,NA,NA,"CMR",2.933333,9.904167,"Oslisly u.a. 2006: 130; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2",391,40
"293","aDRAC","Beta-156376",1570,70,2,0,"Boussibilinga 1","BOS 1 1",NA,NA,NA,"CMR",2.7375,9.8778,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2",629,374
"294","aDRAC","Beta-156377",550,70,2,0,"Bwambe-Beach","BWB D1",NA,NA,NA,"CMR",2.898504,9.901455,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2",1452,1452
