"id","name","st_x","st_y"
1279,"Iyonda",18.18601,-0.034788
1314,"Nkombo",18.623167,-0.105706
1317,"Bampoko",18.801017,-0.146343
1322,"Botendo",18.905869,-0.268385
1244,"Sa",10.805278,6.638889
1497,"Azobe 1",11.621111,-0.201944
1346,"Lusako",19.963978,-0.9227
1390,"Boende",20.878878,-0.278183
1396,"Esangaonje",21.552149,-0.442536
1854,"Conda",11.935507,-4.501965
1397,"Wema",21.635839,-0.479714
1399,"Balinga-Wema",21.785084,-0.527344
1400,"Ifomo",21.885088,-0.565797
1401,"Vieux-Wema",21.919131,-0.568587
1412,"Yalifita",23.277436,-1.034567
1414,"Lingomo",23.540128,-1.155073
1415,"Ikomaloki",23.767789,-1.209968
1418,"Kwambili",18.348399,0.162385
1419,"Bondo",18.342447,0.238661
1420,"Malelembe",18.39671,0.248562
1421,"Monzambi",18.536353,0.303572
1422,"Ibunga",18.568067,0.299271
1423,"Iteli",18.62434,0.311715
1424,"Nganda Ikelemba",18.778887,0.320764
1426,"Boyenge",18.878862,0.378587
1428,"Bolomba",19.228241,0.349073
1452,"Ipono",20.224122,1.024446
1430,"Bombimba",19.590063,0.429998
1443,"Boso-Njafo-Plantation",19.190256,1.148303
1128,"Boyoka",17.898659,1.089931
2412,"LE5",17.514783,3.764462
2500,"Malemba-Nkulu",26.797693,-8.056972
1344,"Lombo-Lombo",19.815645,-0.80477
1350,"Bonginji",20.27573,-0.991904
1351,"Itumbo",20.293444,-1.00433
1352,"Momboyo I",20.31086,-1.153119
1364,"Lisafa",19.73618,-0.258672
1353,"Yete",20.3401,-1.175813
1379,"Monieka",20.053766,-0.211017
1354,"Besau",20.365413,-1.236344
1356,"Monkoto",20.684728,-1.745558
1357,"Bekongo",20.770047,-1.837602
1355,"Bampete",20.371046,-1.290138
1360,"Ikali",21.041643,-2.031199
1361,"Loolo",19.180993,-0.247287
1362,"Lingonda",19.371382,-0.213141
1365,"Inyele",19.752278,-0.240968
1366,"Lotoko",19.872066,-0.291545
1369,"Lingonju",19.802057,-0.616938
1370,"Bokala",19.804452,-0.56405
1372,"Eungu",19.976601,-0.489617
1359,"Nkemasoni",20.97292,-1.991715
1378,"Besongo",19.980082,-0.198392
2413,"LE6",17.514568,3.763477
2256,"SNP-01",20.550024,-1.710124
1347,"Bololo",19.9601,-1.008848
1156,"Ubangi, Fkm 415,5",18.44678,2.84903
1155,"Pandu",19.262678,5.00478
1373,"Eanja-Ilanga",20.010076,-0.563581
1376,"Isaka-Nkundo",20.172681,-0.668736
1377,"Isaka-Elinga",20.202048,-0.666969
1380,"Bokote",20.206142,-0.214307
1381,"Inkaka",20.263551,-0.211041
1382,"Liyolongo",20.323035,-0.342695
1383,"Nkoyakoli",20.518223,-0.365373
1384,"Ikembeli",20.577356,-0.357317
1385,"Busira I",20.612942,-0.361049
1092,"Leme",16.112376,1.880963
1102,"Molanda",16.537896,0.945646
1085,"Bokonongo",17.129437,0.201971
