WKT,Type,FROM,TO,Freq
"POLYGON ((20.378778 -1.354817,17.175593 -1.062185,18.256488 0.060277,18.62434 0.311715,20.153246 1.313028,20.233979 1.334905,20.378778 -1.354817))",Mbandaka,1000,1400,15
"POLYGON ((18.690466 3.004896,18.105096 2.116407,18.594438 3.710706,18.632694 3.648189,18.690466 3.004896))",Mbati-Ngombe,1900,2000,8
"POLYGON ((16.504824 1.227166,16.5227 1.116917,16.537896 0.945646,15.550034 1.957609,16.08439 2.189246,16.504824 1.227166))",Mbenja,1900,2000,14
"POLYGON ((23.81738 1.3028,24.43973 0.76755,24.23044 0.64945,21.51668 2.150083,22.8649 2.0501,23.81738 1.3028))",Middle Pottery Phase (cf. Ilambi Moke),50,450,6
"POLYGON ((17.365479 -0.552494,17.221926 -0.805556,17.192417 -0.849508,16.917098 -1.052349,17.306587 1.056931,17.413073 1.209168,17.478148 0.099491,17.365479 -0.552494))",Mobaka,1900,2000,16
"POLYGON ((18.637255 3.16192,18.404747 2.72187,18.69029 4.367518,19.523072 5.13121,18.637255 3.16192))",Mokelo,1300,1600,7
"POLYGON ((20.770047 -1.837602,19.806854 -1.232534,18.674585 -0.104198,20.878878 -0.278183,20.770047 -1.837602))",Monkoto,-100,200,16
"POLYGON ((18.690466 3.004896,18.523706 2.806193,18.404747 2.72187,18.644374 4.129969,18.69029 4.367518,18.690466 3.004896))",Motenge-Boma,1600,1900,14
"POLYGON ((22.065166 0.078294,21.831469 0.087605,21.385648 0.118084,22.065166 0.078294))",Mpokioko,1600,1800,3
"POLYGON ((9.952948 -0.182647,9.505588 0.29663,9.383333 0.5,9.316667 0.916667,9.952948 -0.182647))",Nanda/Groupe II,900,1200,6
"POLYGON ((18.092242 1.665022,16.636105 0.549857,15.881677 1.783279,18.637255 3.16192,18.092242 1.665022))",Ngbanja,-200,500,6
"POLYGON ((17.221926 -0.805556,17.128605 -0.892241,16.987737 0.36855,17.129437 0.201971,17.221926 -0.805556))",Ngombe,1100,1300,6
"POLYGON ((14.877041 -5.635787,14.579839 -5.745826,13.699803 -5.768174,13.25615 -4.98562,14.866667 -5.283333,14.923611 -5.308333,14.877041 -5.635787))",Ngovo,-420,130,12
"POLYGON ((21.253168 -0.305801,20.3401 -1.175813,17.702895 -0.641539,18.754714 0.957267,21.253168 -0.305801))",Nkile,1300,1600,36
"POLYGON ((20.735732 0.729053,20.341824 1.331587,21.594268 2.174369,22.67221 2.09385,22.8649 2.0501,20.735732 0.729053))",Nkomba,1800,1900,6
"POLYGON ((11.55 4.049917,11.504167 3.816667,11.239167 4.273528,11.316667 4.266667,11.55 4.049917))",Obobogo,-500,-200,6
"POLYGON ((13.546658 -1.614776,9.914995 -1.669342,9.498611 -1.5,9.145121 -0.871556,9.340556 0.577778,11.585 -0.0375,13.546658 -1.614776))",Okala,-500,0,20
"POLYGON ((11.552778 -0.108333,11.575 -0.119444,11.588889 -0.127778,11.5025 -0.158056,11.121667 -0.069167,11.119444 -0.047222,11.552778 -0.108333))",Okanda,-50,600,9
"POLYGON ((11.146389 -0.1,11.096667 -0.076389,11.119444 -0.047222,11.146389 -0.1))",Otoumbi,50,550,6
"POLYGON ((16.636105 0.549857,15.881677 1.783279,16.057202 1.617344,16.636105 0.549857))",Ouesso,1000,1350,3
"POLYGON ((10.0825 0.200833,10.12 0.1575,9.95907 -0.196856,9.938122 -0.177925,9.447148 0.395391,9.397778 0.524167,9.316667 0.916667,10.0825 0.200833))",Oveng,0,800,11
"POLYGON ((16.5227 1.116917,16.636105 0.549857,15.550034 1.957609,16.082956 2.076599,16.5227 1.116917))",Pandama,1600,1900,14
"POLYGON ((17.334786 -1.033313,16.636105 0.549857,16.447391 1.213,16.504824 1.227166,17.356948 1.162608,18.549522 0.792926,17.334786 -1.033313))",Pikunda-Munda,-200,500,8
"POLYGON ((11.95184 -4.472135,11.798009 -4.538866,11.60855 -4.372503,11.95184 -4.472135))",Tchissanga,-800,-400,3
"POLYGON ((20.770047 -1.837602,19.755676 -1.213735,19.483622 -0.667824,20.27573 -0.991904,20.293444 -1.00433,20.770047 -1.837602))",Wafanya,1100,1300,13
"POLYGON ((22.351465 -0.61843,21.919131 -0.568587,20.779496 -0.349533,20.878878 -0.278183,21.253168 -0.305801,22.351465 -0.61843))",Wema,1200,1400,9
"POLYGON ((20.263551 -0.211041,20.365413 -1.236344,18.313082 0.008471,18.514476 0.773259,19.590063 0.429998,20.263551 -0.211041))",Yete,100,400,22
"POLYGON ((22.399409 0.166597,22.006525 0.050859,21.301939 0.136734,20.735732 0.729053,22.399409 0.166597))",Yopoko,1900,1983,8
